geometry,latitude,longitude,Name,Description
"{""type"":""Point"",""coordinates"":[77.5251166,12.9416715,0.0]}",12.9416715,77.5251166,Nayandahalli,""
"{""type"":""Point"",""coordinates"":[77.4878557,12.914689,0.0]}",12.914689,77.4878557,Kengeri Bus Terminal,""
"{""type"":""Point"",""coordinates"":[77.4765784,12.9079105,0.0]}",12.9079105,77.4765784,Kengeri,""
"{""type"":""Point"",""coordinates"":[77.5196788,12.9365996,0.0]}",12.9365996,77.5196788,Rajarajeshwari Nagar,""
"{""type"":""Point"",""coordinates"":[77.4983509,12.9242505,0.0]}",12.9242505,77.4983509,Pattanagere,""
"{""type"":""Point"",""coordinates"":[77.5299545,12.8617298,0.0]}",12.8617298,77.5299545,Silk Institute,""
"{""type"":""Point"",""coordinates"":[77.5383958,12.8714097,0.0]}",12.8714097,77.5383958,Thalaghattapura,""
"{""type"":""Point"",""coordinates"":[77.5447414,12.8774369,0.0]}",12.8774369,77.5447414,Vajarahalli,""
"{""type"":""Point"",""coordinates"":[77.5527546,12.8846435,0.0]}",12.8846435,77.5527546,Doddakallasandra,""
"{""type"":""Point"",""coordinates"":[77.5626665,12.8889671,0.0]}",12.8889671,77.5626665,Konanakunte Cross,""
"{""type"":""Point"",""coordinates"":[77.54989340981854,13.02327288918433,0.0]}",13.02327288918433,77.54989340981854,Yeshwanthapura,""
"{""type"":""Point"",""coordinates"":[77.583300,12.925500,0.0]}",12.925500,77.583300,R.V. Road,""
"{""type"":""Point"",""coordinates"":[77.591200,12.926800,0.0]}",12.926800,77.591200,Ragigudda,""
"{""type"":""Point"",""coordinates"":[77.604400,12.924800,0.0]}",12.924800,77.604400,Jayadeva Hospital,""
"{""type"":""Point"",""coordinates"":[77.615800,12.919100,0.0]}",12.919100,77.615800,BTM Layout,""
"{""type"":""Point"",""coordinates"":[77.633900,12.921300,0.0]}",12.921300,77.633900,Central Silk Board,""
"{""type"":""Point"",""coordinates"":[77.643600,12.910200,0.0]}",12.910200,77.643600,Bommanahalli,""
"{""type"":""Point"",""coordinates"":[77.646800,12.904600,0.0]}",12.904600,77.646800,Hongasandra,""
"{""type"":""Point"",""coordinates"":[77.649900,12.899000,0.0]}",12.899000,77.649900,Kudlu Gate,""
"{""type"":""Point"",""coordinates"":[77.652800,12.894000,0.0]}",12.894000,77.652800,Singasandra,""
"{""type"":""Point"",""coordinates"":[77.656500,12.888500,0.0]}",12.888500,77.656500,Hosa Road,""
"{""type"":""Point"",""coordinates"":[77.660800,12.881500,0.0]}",12.881500,77.660800,Beratena Agrahara,""
"{""type"":""Point"",""coordinates"":[77.665300,12.868700,0.0]}",12.868700,77.665300,Infosys Foundation Konappana Agrahara,""
"{""type"":""Point"",""coordinates"":[77.669900,12.861500,0.0]}",12.861500,77.669900,Electronic City,""
"{""type"":""Point"",""coordinates"":[77.673800,12.851700,0.0]}",12.851700,77.673800,Huskur Road,""
"{""type"":""Point"",""coordinates"":[77.676200,12.841600,0.0]}",12.841600,77.676200,Hebbagodi,""
"{""type"":""Point"",""coordinates"":[77.678700,12.832000,0.0]}",12.832000,77.678700,Delta Electronics Bommasandra,""
